pca_components,kmeans_clusters,pca_explained_var,inertia_mean,inertia_std,silhouette_mean,silhouette_std,min_cluster_size_min,min_cluster_size_mean,max_cluster_size_max,max_cluster_size_mean,cluster_size_ratio_max,cluster_size_ratio_mean,runs,model_name,model_display,source_file,inertia_value,silhouette_value,min_cluster_size,cluster_size_ratio,fold_eligible
2,3,0.3734914590945556,171.27823367455167,0.0090652656264025,0.4888688368050223,0.0010512708463877,45,45.6,91,90.4,2.022222222222222,1.9828019323671495,5,efficientnet_b1,EfficientNet B1,results/phase2/tuning/phase2_all_results_efficientnet_b1_averaged.csv,171.27823367455167,0.4888688368050223,45,2.022222222222222,True
3,2,0.4519188895869967,429.74235973786983,0.0,0.4474159332784332,0.0,98,98.0,105,105.0,1.0714285714285714,1.0714285714285714,5,efficientnet_b1,EfficientNet B1,results/phase2/tuning/phase2_all_results_efficientnet_b1_averaged.csv,429.74235973786983,0.4474159332784332,98,1.0714285714285714,True
2,4,0.3734914590945556,124.94671889764837,0.0,0.436758060481094,0.0,34,34.0,67,67.0,1.9705882352941175,1.9705882352941175,5,efficientnet_b1,EfficientNet B1,results/phase2/tuning/phase2_all_results_efficientnet_b1_averaged.csv,124.94671889764837,0.436758060481094,34,1.9705882352941175,True
4,2,0.5041624708604503,530.6570215221616,0.0,0.4013491542874864,0.0,98,98.0,105,105.0,1.0714285714285714,1.0714285714285714,5,efficientnet_b1,EfficientNet B1,results/phase2/tuning/phase2_all_results_efficientnet_b1_averaged.csv,530.6570215221616,0.4013491542874864,98,1.0714285714285714,True
3,3,0.4519188895869967,314.5752555672688,0.0,0.3967779966110411,0.0,46,46.0,97,97.0,2.108695652173913,2.108695652173913,5,efficientnet_b1,EfficientNet B1,results/phase2/tuning/phase2_all_results_efficientnet_b1_averaged.csv,314.5752555672688,0.3967779966110411,46,2.108695652173913,True
2,8,0.3734914590945556,62.95565119429087,0.181290849152571,0.3758793256138235,0.0030146967029056,18,18.2,41,39.4,2.2777777777777777,2.166081871345029,5,efficientnet_b1,EfficientNet B1,results/phase2/tuning/phase2_all_results_efficientnet_b1_averaged.csv,62.95565119429087,0.3758793256138235,18,2.2777777777777777,True
5,2,0.5489161514380522,615.2840914636604,0.0,0.3751712496400987,0.0,100,100.0,103,103.0,1.03,1.03,5,efficientnet_b1,EfficientNet B1,results/phase2/tuning/phase2_all_results_efficientnet_b1_averaged.csv,615.2840914636604,0.3751712496400987,100,1.03,True
2,5,0.3734914590945556,103.83773247831282,0.3941700773973674,0.3744897154016584,0.0021738934349709,26,27.4,64,60.6,2.3076923076923075,2.214131054131054,5,efficientnet_b1,EfficientNet B1,results/phase2/tuning/phase2_all_results_efficientnet_b1_averaged.csv,103.83773247831282,0.3744897154016584,26,2.3076923076923075,True
2,9,0.3734914590945556,56.66600708780091,0.3110124930897179,0.3706102167395816,0.0072830051573277,11,14.2,43,38.2,3.8181818181818183,2.7747627372627375,5,efficientnet_b1,EfficientNet B1,results/phase2/tuning/phase2_all_results_efficientnet_b1_averaged.csv,56.66600708780091,0.3706102167395816,11,3.8181818181818183,True
2,3,0.5425583511643464,142.5086699176833,0.0,0.4961210140993044,0.0,44,44.0,93,93.0,2.113636363636364,2.113636363636364,5,vit_base_patch32_224,ViT Base Patch 32 224,results/phase2/tuning/phase2_all_results_vit_base_patch32_224_averaged.csv,142.5086699176833,0.4961210140993044,44,2.113636363636364,True
2,2,0.5425583511643464,238.25269172899,0.0,0.492075898705938,0.0,101,101.0,102,102.0,1.00990099009901,1.00990099009901,5,vit_base_patch32_224,ViT Base Patch 32 224,results/phase2/tuning/phase2_all_results_vit_base_patch32_224_averaged.csv,238.25269172899,0.492075898705938,101,1.00990099009901,True
2,4,0.5425583511643464,100.894488781938,0.0,0.4617088718848675,0.0,43,43.0,65,65.0,1.5116279069767442,1.5116279069767442,5,vit_base_patch32_224,ViT Base Patch 32 224,results/phase2/tuning/phase2_all_results_vit_base_patch32_224_averaged.csv,100.894488781938,0.4617088718848675,43,1.5116279069767442,True
