experiment,model,fold,validation_selected_fold,series,epoch,loss
Experiment 1,DenseNet-121,2,False,training,59,0.11059591260605625
Experiment 1,DenseNet-121,2,False,validation,1,0.7097432081188474
Experiment 1,DenseNet-121,2,False,validation,2,0.5632813218094054
Experiment 1,DenseNet-121,2,False,validation,3,0.5089642944790068
Experiment 1,DenseNet-121,2,False,validation,4,0.4680239146664029
Experiment 1,DenseNet-121,2,False,validation,5,0.5189523838815235
Experiment 1,DenseNet-121,2,False,validation,6,0.4098288750364667
Experiment 1,DenseNet-121,2,False,validation,7,0.3905742054893857
Experiment 1,DenseNet-121,2,False,validation,8,0.4301059554730143
Experiment 1,DenseNet-121,2,False,validation,9,0.3778226836806252
Experiment 1,DenseNet-121,2,False,validation,10,0.3808605039403552
Experiment 1,DenseNet-121,2,False,validation,11,0.3252485642830531
Experiment 1,DenseNet-121,2,False,validation,12,0.3282157253651392
Experiment 1,DenseNet-121,2,False,validation,13,0.34505031293346766
Experiment 1,DenseNet-121,2,False,validation,14,0.3389257015216918
Experiment 1,DenseNet-121,2,False,validation,15,0.34723910884488196
Experiment 1,DenseNet-121,2,False,validation,16,0.3320847960809867
Experiment 1,DenseNet-121,2,False,validation,17,0.31129071967942373
Experiment 1,DenseNet-121,2,False,validation,18,0.3080728511725153
Experiment 1,DenseNet-121,2,False,validation,19,0.35491135379388217
Experiment 1,DenseNet-121,2,False,validation,20,0.306083794683218
Experiment 1,DenseNet-121,2,False,validation,21,0.29019234888255596
Experiment 1,DenseNet-121,2,False,validation,22,0.34625159124178545
Experiment 1,DenseNet-121,2,False,validation,23,0.36343043244310785
Experiment 1,DenseNet-121,2,False,validation,24,0.32877868147833006
Experiment 1,DenseNet-121,2,False,validation,25,0.32650157312552136
Experiment 1,DenseNet-121,2,False,validation,26,0.308043317958003
Experiment 1,DenseNet-121,2,False,validation,27,0.3104185735185941
Experiment 1,DenseNet-121,2,False,validation,28,0.3218905728842531
Experiment 1,DenseNet-121,2,False,validation,29,0.352827465915609
Experiment 1,DenseNet-121,2,False,validation,30,0.37344731931530295
Experiment 1,DenseNet-121,2,False,validation,31,0.33302230654018267
Experiment 1,DenseNet-121,2,False,validation,32,0.32458101709683734
Experiment 1,DenseNet-121,2,False,validation,33,0.30667657360789324
Experiment 1,DenseNet-121,2,False,validation,34,0.30424582789696397
Experiment 1,DenseNet-121,2,False,validation,35,0.2899220680729264
Experiment 1,DenseNet-121,2,False,validation,36,0.30663450221930233
Experiment 1,DenseNet-121,2,False,validation,37,0.29526185377367903
Experiment 1,DenseNet-121,2,False,validation,38,0.2901304978877306
Experiment 1,DenseNet-121,2,False,validation,39,0.29037812910974026
Experiment 1,DenseNet-121,2,False,validation,40,0.29047883381800993
Experiment 1,DenseNet-121,2,False,validation,41,0.2918674891725892
Experiment 1,DenseNet-121,2,False,validation,42,0.2932174852383988
Experiment 1,DenseNet-121,2,False,validation,43,0.29116706115504104
Experiment 1,DenseNet-121,2,False,validation,44,0.2872144969268924
Experiment 1,DenseNet-121,2,False,validation,45,0.29718840069004465
Experiment 1,DenseNet-121,2,False,validation,46,0.296002580961656
Experiment 1,DenseNet-121,2,False,validation,47,0.2895288300656137
Experiment 1,DenseNet-121,2,False,validation,48,0.29018882302833454
Experiment 1,DenseNet-121,2,False,validation,49,0.3028533399282467
Experiment 1,DenseNet-121,2,False,validation,50,0.2974675555403034
Experiment 1,DenseNet-121,2,False,validation,51,0.2962792939728215
Experiment 1,DenseNet-121,2,False,validation,52,0.29536287898996044
Experiment 1,DenseNet-121,2,False,validation,53,0.29011758390281883
Experiment 1,DenseNet-121,2,False,validation,54,0.2972014948637003
Experiment 1,DenseNet-121,2,False,validation,55,0.296436088647516
Experiment 1,DenseNet-121,2,False,validation,56,0.2934585439839533
Experiment 1,DenseNet-121,2,False,validation,57,0.3035910145512649
Experiment 1,DenseNet-121,2,False,validation,58,0.29642503881560905
Experiment 1,DenseNet-121,2,False,validation,59,0.29724711849398555
Experiment 1,DenseNet-121,3,True,training,1,0.8580333012200537
Experiment 1,DenseNet-121,3,True,training,2,0.6845918205522356
Experiment 1,DenseNet-121,3,True,training,3,0.5904710649379662
Experiment 1,DenseNet-121,3,True,training,4,0.5548931179302079
Experiment 1,DenseNet-121,3,True,training,5,0.5163613557815552
Experiment 1,DenseNet-121,3,True,training,6,0.46590983654771534
Experiment 1,DenseNet-121,3,True,training,7,0.4397996362476122
Experiment 1,DenseNet-121,3,True,training,8,0.43985749408602715
Experiment 1,DenseNet-121,3,True,training,9,0.3704143258787337
Experiment 1,DenseNet-121,3,True,training,10,0.3804122323081607
Experiment 1,DenseNet-121,3,True,training,11,0.3761928521451496
Experiment 1,DenseNet-121,3,True,training,12,0.3500548939087561
Experiment 1,DenseNet-121,3,True,training,13,0.3283395091337817
Experiment 1,DenseNet-121,3,True,training,14,0.31871334986672517
Experiment 1,DenseNet-121,3,True,training,15,0.2920277371470417
Experiment 1,DenseNet-121,3,True,training,16,0.29254158435478095
Experiment 1,DenseNet-121,3,True,training,17,0.28867482358501073
Experiment 1,DenseNet-121,3,True,training,18,0.2652008787152313
Experiment 1,DenseNet-121,3,True,training,19,0.28093967622234706
Experiment 1,DenseNet-121,3,True,training,20,0.2634673539903902
Experiment 1,DenseNet-121,3,True,training,21,0.25496268219181467
Experiment 1,DenseNet-121,3,True,training,22,0.21605779700690791
Experiment 1,DenseNet-121,3,True,training,23,0.2222525757249622
Experiment 1,DenseNet-121,3,True,training,24,0.23391675159689926
Experiment 1,DenseNet-121,3,True,training,25,0.21115115976759366
Experiment 1,DenseNet-121,3,True,training,26,0.1909147227360379
Experiment 1,DenseNet-121,3,True,training,27,0.20711162967962168
Experiment 1,DenseNet-121,3,True,training,28,0.2080205167599377
Experiment 1,DenseNet-121,3,True,training,29,0.1751767529085988
Experiment 1,DenseNet-121,3,True,training,30,0.1977051644852119
Experiment 1,DenseNet-121,3,True,training,31,0.18926858924151885
Experiment 1,DenseNet-121,3,True,training,32,0.17483304223666588
Experiment 1,DenseNet-121,3,True,training,33,0.20968580789243182
Experiment 1,DenseNet-121,3,True,training,34,0.1860048332739444
Experiment 1,DenseNet-121,3,True,training,35,0.16168302404029028
Experiment 1,DenseNet-121,3,True,training,36,0.1370228882435532
Experiment 1,DenseNet-121,3,True,training,37,0.17828295852190681
Experiment 1,DenseNet-121,3,True,training,38,0.14201863722077437
Experiment 1,DenseNet-121,3,True,training,39,0.12756117898970842
Experiment 1,DenseNet-121,3,True,training,40,0.11034967388869041
Experiment 1,DenseNet-121,3,True,training,41,0.1324793032947041
Experiment 1,DenseNet-121,3,True,training,42,0.11465879873971321
Experiment 1,DenseNet-121,3,True,training,43,0.12957541203303707
Experiment 1,DenseNet-121,3,True,training,44,0.11814051050515402
Experiment 1,DenseNet-121,3,True,training,45,0.1128394236300318
Experiment 1,DenseNet-121,3,True,training,46,0.124449627385253
Experiment 1,DenseNet-121,3,True,training,47,0.10999240069871857
Experiment 1,DenseNet-121,3,True,training,48,0.11657711752646026
Experiment 1,DenseNet-121,3,True,training,49,0.10735834984197504
Experiment 1,DenseNet-121,3,True,training,50,0.11203279854020193
Experiment 1,DenseNet-121,3,True,training,51,0.10027956403791904
Experiment 1,DenseNet-121,3,True,training,52,0.11143172878239836
Experiment 1,DenseNet-121,3,True,training,53,0.11767689648660876
Experiment 1,DenseNet-121,3,True,training,54,0.11010260341156806
Experiment 1,DenseNet-121,3,True,training,55,0.0991399696296347
Experiment 1,DenseNet-121,3,True,validation,1,0.7401670543920427
Experiment 1,DenseNet-121,3,True,validation,2,0.6256819395791917
Experiment 1,DenseNet-121,3,True,validation,3,0.6808600588923409
Experiment 1,DenseNet-121,3,True,validation,4,0.49397864653950646
Experiment 1,DenseNet-121,3,True,validation,5,0.5109989980146998
Experiment 1,DenseNet-121,3,True,validation,6,0.446677708200046
Experiment 1,DenseNet-121,3,True,validation,7,0.38936073936167215
Experiment 1,DenseNet-121,3,True,validation,8,0.428787414871511
Experiment 1,DenseNet-121,3,True,validation,9,0.39693474521239597
Experiment 1,DenseNet-121,3,True,validation,10,0.33170629842650323
Experiment 1,DenseNet-121,3,True,validation,11,0.34859050455547513
Experiment 1,DenseNet-121,3,True,validation,12,0.3385230458918072
Experiment 1,DenseNet-121,3,True,validation,13,0.3509393266978718
Experiment 1,DenseNet-121,3,True,validation,14,0.339970297490557
